name,cals,fat,carbs,protein,nutr_code
"Alcoholic beverage, distilled, gin, 90 proof",2.63,0.0,0.0,0.0,14049
"Alcoholic beverage, distilled, rum, 80 proof",2.31,0.0,0.0,0.0,14050
"Alcoholic beverage, distilled, vodka, 80 proof",2.31,0.0,0.0,0.0,14051
"Alcoholic beverage, distilled, whiskey, 86 proof",2.5,0.0,0.004,0.0,14052
"Alcoholic beverage, liqueur, coffee with cream, 34 proof",3.27,1.413,0.836,0.112,14415
"Alcoholic beverage, liqueur, coffee, 53 proof",3.36,0.027000000000000003,1.872,0.004,14414
"Alcoholic beverage, liqueur, coffee, 63 proof",3.08,0.027000000000000003,1.288,0.004,14534
"Alcoholic beverage, malt beer, hard lemonade",0.68,0.0,0.4028,0.0,14239
"Alcoholic beverage, pina colada, canned",2.37,0.6839999999999999,1.104,0.024,14015
"Alcoholic beverage, pina colada, prepared-from-recipe",1.74,0.16919999999999996,0.9064,0.0168,14017
"Alcoholic beverage, rice (sake)",1.34,0.0,0.2,0.02,43479
"Alcoholic beverage, tequila sunrise, canned",1.1,0.009000000000000001,0.452,0.012,14019
"Alcoholic beverage, whiskey sour",1.49,0.0027,0.5268,0.0,14531
"Alcoholic beverage, whiskey sour, canned",1.19,0.0,0.536,0.0,14027
"Alcoholic beverage, whiskey sour, prepared from item 14028",1.53,0.005399999999999999,0.5128,0.0024,14029
"Alcoholic beverage, whiskey sour, prepared with water, whiskey and powder mix",1.64,0.0018000000000000004,0.634,0.004,14025
"Alcoholic beverage, wine, cooking",0.5,0.0,0.252,0.02,43154
"Alcoholic beverage, wine, dessert, dry",1.52,0.0,0.4668,0.008,14536
"Alcoholic beverage, wine, dessert, sweet",1.6,0.0,0.5476,0.008,14057
"Alcoholic beverage, wine, light",0.49,0.0,0.0468,0.0028000000000000004,43155
"Alcoholic beverage, wine, table, all",0.83,0.0,0.1088,0.0028000000000000004,14084
"Alcoholic beverage, wine, table, red",0.85,0.0,0.1044,0.0028000000000000004,14096
"Alcoholic beverage, wine, table, white",0.82,0.0,0.104,0.0028000000000000004,14106
"Alcoholic beverage, wine, table, white, Chardonnay",0.84,0.0,0.0864,0.0028000000000000004,14160
"Alcoholic beverage, wine, table, white, Chenin Blanc",0.8,0.0,0.1324,0.0028000000000000004,14116
"Alcoholic beverage, wine, table, white, Fume Blanc",0.82,0.0,0.0908,0.0028000000000000004,14117
"Alcoholic beverage, wine, table, white, Gewurztraminer",0.81,0.0,0.104,0.0028000000000000004,14124
"Alcoholic beverage, wine, table, white, Muller Thurgau",0.76,0.0,0.1392,0.0028000000000000004,14120
"Alcoholic beverage, wine, table, white, Muscat",0.82,0.0,0.2092,0.0028000000000000004,14140
"Alcoholic beverage, wine, table, white, Pinot Blanc",0.81,0.0,0.0776,0.0028000000000000004,14138
"Alcoholic beverage, wine, table, white, Pinot Gris (Grigio)",0.83,0.0,0.0824,0.0028000000000000004,14113
"Alcoholic beverage, wine, table, white, Riesling",0.8,0.0,0.1496,0.0028000000000000004,14132
"Alcoholic beverage, wine, table, white, Sauvignon Blanc",0.81,0.0,0.08199999999999999,0.0028000000000000004,14134
"Alcoholic beverage, wine, table, white, Semillon",0.82,0.0,0.1248,0.0028000000000000004,14126
"Alcoholic beverage, wine, table, white, late harvest",1.12,0.0,0.5356000000000001,0.0028000000000000004,14135
"Alcoholic beverage, wine, table, white, late harvest, Gewurztraminer",1.08,0.0,0.4556,0.0028000000000000004,14125
"Alcoholic beverages, beer, higher alcohol",0.58,0.0,0.0108,0.036000000000000004,14251
"Alcoholic beverages, wine, rose",0.83,0.0,0.152,0.0144,14253
"Alfalfa seeds, sprouted, raw",0.23,0.0621,0.084,0.15960000000000002,11001
"Amaranth grain, cooked",1.02,0.14220000000000002,0.7476,0.152,20002
"Amaranth grain, uncooked",3.71,0.6318,2.61,0.5424,20001
"Amaranth leaves, cooked, boiled, drained, with salt",0.21,0.0162,0.16440000000000002,0.08439999999999999,11700
"Amaranth leaves, cooked, boiled, drained, without salt",0.21,0.0162,0.16440000000000002,0.08439999999999999,11004
"Amaranth leaves, raw",0.23,0.0297,0.16079999999999994,0.0984,11003
"Animal fat, bacon grease",8.97,8.955,0.0,0.0,4609
"Apple juice, canned or bottled, unsweetened, with added ascorbic acid",0.46,0.0117,0.452,0.004,9400
"Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium",0.48,0.0153,0.4596,0.0048,9517
"Apple juice, canned or bottled, unsweetened, without added ascorbic acid",0.46,0.0117,0.452,0.004,9016
"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water without added ascorbic acid",0.47,0.009000000000000001,0.4616,0.005600000000000001,9018
"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added ascorbic acid",0.47,0.009000000000000001,0.4616,0.005600000000000001,9411
"Apple juice, frozen concentrate, unsweetened, undiluted, with added ascorbic acid",1.66,0.0333,1.64,0.0204,9410
"Apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid",1.66,0.0333,1.64,0.0204,9017
"Apples, canned, sweetened, sliced, drained, heated",0.67,0.0387,0.6736,0.0072,9008
"Apples, canned, sweetened, sliced, drained, unheated",0.67,0.0441,0.6679999999999999,0.0072,9007
"Apples, dehydrated (low moisture), sulfured, stewed",0.74,0.0108,0.7964,0.011200000000000002,9010
"Apples, dehydrated (low moisture), sulfured, uncooked",3.46,0.0522,3.7412,0.0528,9009
"Apples, dried, sulfured, stewed, with added sugar",0.83,0.006300000000000001,0.8292,0.008,9013
"Apples, dried, sulfured, stewed, without added sugar",0.57,0.006300000000000001,0.6128,0.0088,9012
"Apples, dried, sulfured, uncooked",2.43,0.028800000000000006,2.6356,0.0372,9011
"Apples, frozen, unsweetened, heated",0.47,0.0297,0.48,0.0116,9015
"Apples, frozen, unsweetened, unheated",0.48,0.028800000000000006,0.4924,0.011200000000000002,9014
"Apples, raw, fuji, with skin",0.63,0.0162,0.6088,0.008,9504
"Apples, raw, gala, with skin",0.57,0.0108,0.5472,0.01,9503
"Apples, raw, golden delicious, with skin",0.57,0.0135,0.544,0.011200000000000002,9501
"Apples, raw, granny smith, with skin",0.58,0.0171,0.5444,0.0176,9502
"Apples, raw, red delicious, with skin",0.59,0.018000000000000002,0.5624,0.0108,9500
"Apples, raw, with skin",0.52,0.0153,0.5524,0.0104,9003
"Apples, raw, without skin",0.48,0.0117,0.5104,0.0108,9004
"Apples, raw, without skin, cooked, boiled",0.53,0.0324,0.5456,0.0104,9005
"Apples, raw, without skin, cooked, microwave",0.56,0.0378,0.5764,0.011200000000000002,9006
"Applesauce, canned, sweetened, with salt",0.76,0.0162,0.7964,0.0072,9402
"Applesauce, canned, sweetened, without salt (includes USDA commodity)",0.68,0.0153,0.6995999999999999,0.0064,9020
"Applesauce, canned, unsweetened, with added ascorbic acid",0.42,0.009000000000000001,0.4508,0.0068000000000000005,9401
"Applesauce, canned, unsweetened, without added ascorbic acid (includes USDA commodity)",0.42,0.009000000000000001,0.4508,0.0068000000000000005,9019
"Apricot nectar, canned, with added ascorbic acid",0.56,0.0081,0.5756,0.0148,9403
"Apricot nectar, canned, without added ascorbic acid",0.56,0.0081,0.5756,0.0148,9036
"Apricots, canned, extra heavy syrup pack, without skin, solids and liquids",0.96,0.0036000000000000008,0.994,0.022,9029
"Apricots, canned, extra light syrup pack, with skin, solids and liquids",0.49,0.009000000000000001,0.5,0.024,9025
"Apricots, canned, heavy syrup pack, with skin, solids and liquids",0.83,0.0072000000000000015,0.8588,0.0212,9027
"Apricots, canned, heavy syrup pack, without skin, solids and liquids",0.83,0.0081,0.858,0.0204,9028
"Apricots, canned, heavy syrup, drained",0.83,0.0099,0.8523999999999999,0.0256,9357
"Apricots, canned, juice pack, with skin, solids and liquids",0.48,0.0036000000000000008,0.4936,0.0252,9024
"Apricots, canned, light syrup pack, with skin, solids and liquids",0.63,0.0045000000000000005,0.6596,0.0212,9026
"Apricots, canned, water pack, with skin, solids and liquids",0.27,0.0144,0.2556,0.0284,9022
"Apricots, canned, water pack, without skin, solids and liquids",0.22,0.0027,0.2192,0.0276,9023
"Apricots, dehydrated (low-moisture), sulfured, stewed",1.26,0.0216,1.3048,0.07719999999999999,9031
"Apricots, dehydrated (low-moisture), sulfured, uncooked",3.2,0.0558,3.3156,0.196,9030
"Apricots, dried, sulfured, stewed, with added sugar",1.13,0.0135,1.1704,0.0468,9034
"Apricots, dried, sulfured, stewed, without added sugar",0.85,0.0162,0.8859999999999999,0.048,9033
"Apricots, dried, sulfured, uncooked",2.41,0.0459,2.5056,0.1356,9032
"Apricots, frozen, sweetened",0.98,0.009000000000000001,1.004,0.028,9035
"Apricots, raw",0.48,0.0351,0.4448,0.056,9021
"Arrowhead, cooked, boiled, drained, with salt",0.78,0.009000000000000001,0.6456000000000001,0.1796,11701
"Arrowhead, cooked, boiled, drained, without salt",0.78,0.009000000000000001,0.6456000000000001,0.1796,11006
"Arrowhead, raw",0.99,0.0261,0.8092,0.2132,11005
Arrowroot flour,3.57,0.009000000000000001,3.526,0.012,20003
"Arrowroot, raw",0.65,0.018000000000000002,0.5356000000000001,0.1696,11697
"Artichokes, (globe or french), cooked, boiled, drained, with salt",0.51,0.0306,0.4556,0.1156,11702
"Artichokes, (globe or french), cooked, boiled, drained, without salt",0.53,0.0306,0.478,0.1156,11008
"Artichokes, (globe or french), frozen, cooked, boiled, drained, with salt",0.45,0.045,0.3672,0.1244,11703
"Artichokes, (globe or french), frozen, cooked, boiled, drained, without salt",0.45,0.045,0.3672,0.1244,11010
"Artichokes, (globe or french), frozen, unprepared",0.38,0.0387,0.31,0.1052,11009
"Artichokes, (globe or french), raw",0.47,0.0135,0.4204,0.1308,11007
"Artificial Blueberry Muffin Mix, dry",4.07,0.7829999999999999,3.0980000000000003,0.188,18566
"Arugula, raw",0.25,0.0594,0.146,0.1032,11959
