name,cals,fat,carbs,protein,nutr_code
"Beef, shoulder pot roast, boneless, separable lean and fat, trimmed to 0"" fat, choice, cooked, braised",2.07,0.8325,0.0,1.2372,23132
"Beef, shoulder pot roast, boneless, separable lean and fat, trimmed to 0"" fat, select, cooked, braised",2.0,0.7569000000000001,0.0,1.2472,23133
"Beef, shoulder pot roast, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, braised",1.96,0.7002,0.0,1.2592,23083
"Beef, shoulder pot roast, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, braised",2.0,0.747,0.0,1.2528,23081
"Beef, shoulder pot roast, boneless, separable lean only, trimmed to 0"" fat, select, cooked, braised",1.9,0.6318,0.0,1.2684,23082
"Beef, shoulder steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",1.82,0.6120000000000001,0.0,1.1316,23554
"Beef, shoulder steak, boneless, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled",1.86,0.6525,0.0,1.1288,23533
"Beef, shoulder steak, boneless, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled",1.77,0.5526,0.0,1.1364,23536
"Beef, shoulder steak, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled",1.75,0.5238,0.0,1.144,23516
"Beef, shoulder steak, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, grilled",1.78,0.5625,0.0,1.1416,13943
"Beef, shoulder steak, boneless, separable lean only, trimmed to 0"" fat, select, cooked, grilled",1.69,0.4653,0.0,1.1484,13946
"Beef, shoulder top blade steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",2.1,0.9963,0.0,1.1036,13598
"Beef, shoulder top blade steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades, raw",1.46,0.6525,0.0,0.8064,13863
"Beef, shoulder top blade steak, boneless, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled",2.2,1.1034,0.0,1.1004,13650
"Beef, shoulder top blade steak, boneless, separable lean and fat, trimmed to 0"" fat, choice, raw",1.52,0.7146,0.0,0.8028,13889
"Beef, shoulder top blade steak, boneless, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled",1.94,0.8361,0.0,1.108,13862
"Beef, shoulder top blade steak, boneless, separable lean and fat, trimmed to 0"" fat, select, raw",1.37,0.5589000000000001,0.0,0.8112,13903
"Beef, shoulder top blade steak, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled",1.96,0.8307000000000001,0.0,1.126,13500
"Beef, shoulder top blade steak, boneless, separable lean only, trimmed to 0"" fat, all grades, raw",1.39,0.5778,0.0,0.8144,13519
"Beef, shoulder top blade steak, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, grilled",2.02,0.8847,0.0,1.1312,13501
"Beef, shoulder top blade steak, boneless, separable lean only, trimmed to 0"" fat, choice, raw",1.43,0.6192,0.0,0.8140000000000001,13520
"Beef, shoulder top blade steak, boneless, separable lean only, trimmed to 0"" fat, select, cooked, grilled",1.87,0.7506,0.0,1.1184,13502
"Beef, shoulder top blade steak, boneless, separable lean only, trimmed to 0"" fat, select, raw",1.33,0.5157,0.0,0.8156,13523
"Beef, tenderloin, roast, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted",3.24,2.2140000000000004,0.0,0.956,13919
"Beef, tenderloin, roast, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",3.31,2.2851,0.0,0.956,13922
"Beef, tenderloin, roast, separable lean and fat, trimmed to 1/8"" fat, prime, cooked, roasted",3.43,2.4003,0.0,0.9616,13928
"Beef, tenderloin, roast, separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted",3.16,2.133,0.0,0.956,13925
"Beef, tenderloin, separable lean and fat, trimmed to 1/8"" fat, prime, raw",2.74,1.9647,0.0,0.726,13926
"Beef, tenderloin, steak, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, broiled",2.67,1.5408000000000002,0.0,1.0584,13918
"Beef, tenderloin, steak, separable lean and fat, trimmed to 1/8"" fat, all grades, raw",2.47,1.6344,0.0,0.7844,13917
"Beef, tenderloin, steak, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled",2.73,1.6002,0.0,1.0572,13921
"Beef, tenderloin, steak, separable lean and fat, trimmed to 1/8"" fat, choice, raw",2.46,1.6092,0.0,0.7928000000000001,13920
"Beef, tenderloin, steak, separable lean and fat, trimmed to 1/8"" fat, prime, cooked, broiled",3.08,1.9989,0.0,1.0104,13927
"Beef, tenderloin, steak, separable lean and fat, trimmed to 1/8"" fat, select, cooked, broiled",2.62,1.4877,0.0,1.0592,13924
"Beef, tenderloin, steak, separable lean and fat, trimmed to 1/8"" fat, select, raw",2.49,1.6614000000000002,0.0,0.7748,13923
"Beef, tenderloin, steak, separable lean only, trimmed to 1/8"" fat, all grades, cooked, broiled",2.0,0.7551,0.0,1.1616,23600
"Beef, tenderloin, steak, separable lean only, trimmed to 1/8"" fat, all grades, raw",1.53,0.5868,0.0,0.8848,23601
"Beef, tenderloin, steak, separable lean only, trimmed to 1/8"" fat, choice, cooked, broiled",2.06,0.8190000000000001,0.0,1.1604,23628
"Beef, tenderloin, steak, separable lean only, trimmed to 1/8"" fat, choice, raw",1.58,0.6363,0.0,0.8868,23624
"Beef, tenderloin, steak, separable lean only, trimmed to 1/8"" fat, select, cooked, broiled",1.94,0.6984,0.0,1.1628,23587
"Beef, tenderloin, steak, separable lean only, trimmed to 1/8"" fat, select, raw",1.48,0.5337,0.0,0.8824,23583
"Beef, top loin filet, boneless, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, grilled",2.39,1.2690000000000001,0.024,1.096,23284
"Beef, top loin filet, boneless, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, grilled",2.53,1.431,0.024,1.072,23285
"Beef, top loin filet, boneless, separable lean and fat, trimmed to 1/8"" fat, select, cooked, grilled",2.19,1.044,0.016,1.132,23286
"Beef, top loin filet, boneless, separable lean only, trimmed to 1/8"" fat, all grades, cooked, grilled",1.95,0.7686,0.012,1.1732,23247
"Beef, top loin filet, boneless, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",2.03,0.8532000000000001,0.0144,1.1596,23248
"Beef, top loin filet, boneless, separable lean only, trimmed to 1/8"" fat, select, cooked, grilled",1.84,0.6408,0.008,1.194,23249
"Beef, top loin petite roast, boneless, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted",2.28,1.161,0.04,1.08,23287
"Beef, top loin petite roast, boneless, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",2.39,1.2690000000000001,0.044,1.072,23288
"Beef, top loin petite roast, boneless, separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted",2.13,1.008,0.036000000000000004,1.084,23289
"Beef, top loin petite roast, boneless, separable lean only, trimmed to 1/8"" fat, all grades, cooked, roasted",1.95,0.7884,0.0328,1.1332,23250
"Beef, top loin petite roast, boneless, separable lean only, trimmed to 1/8"" fat, choice, cooked, roasted",2.06,0.8973000000000001,0.0352,1.1296,23251
"Beef, top loin petite roast, boneless, separable lean only, trimmed to 1/8"" fat, select, cooked, roasted",1.79,0.6255000000000001,0.0296,1.1392,23252
"Beef, top loin petite roast/filet, boneless, separable lean and fat, trimmed to 1/8"" fat, all grades, raw",1.87,1.017,0.012,0.8440000000000001,23290
"Beef, top loin petite roast/filet, boneless, separable lean and fat, trimmed to 1/8"" fat, choice, raw",1.99,1.1340000000000001,0.024,0.8320000000000001,23291
"Beef, top loin petite roast/filet, boneless, separable lean and fat, trimmed to 1/8"" fat, select, raw",1.7,0.8370000000000001,0.0,0.8640000000000001,23292
"Beef, top loin petite roast/filet, boneless, separable lean only, trimmed to 1/8"" fat, all grades, raw",1.43,0.5256,0.0,0.9044,23253
"Beef, top loin petite roast/filet, boneless, separable lean only, trimmed to 1/8"" fat, choice, raw",1.49,0.5832,0.0092,0.9,23254
"Beef, top loin petite roast/filet, boneless, separable lean only, trimmed to 1/8"" fat, select, raw",1.35,0.4392,0.0,0.9108,23255
"Beef, top sirloin, steak, separable lean and fat, trimmed to 0"" fat, all grades, cooked, broiled",2.12,0.8703,0.0,1.1732,13451
"Beef, top sirloin, steak, separable lean and fat, trimmed to 0"" fat, choice, cooked, broiled",2.19,0.9486,0.0,1.1608,13452
"Beef, top sirloin, steak, separable lean and fat, trimmed to 0"" fat, select, cooked, broiled",2.06,0.792,0.0,1.186,13453
"Beef, top sirloin, steak, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, broiled",2.43,1.2807000000000002,0.0,1.0784,13930
"Beef, top sirloin, steak, separable lean and fat, trimmed to 1/8"" fat, all grades, raw",2.01,1.1439,0.0,0.812,13929
"Beef, top sirloin, steak, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled",2.57,1.4175,0.0,1.072,13932
"Beef, top sirloin, steak, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, pan-fried",3.13,1.8954,0.0,1.1508,13933
"Beef, top sirloin, steak, separable lean and fat, trimmed to 1/8"" fat, choice, raw",2.14,1.2852,0.0,0.7968000000000001,13931
"Beef, top sirloin, steak, separable lean and fat, trimmed to 1/8"" fat, select, cooked, broiled",2.3,1.1439,0.0,1.0848,13935
"Beef, top sirloin, steak, separable lean and fat, trimmed to 1/8"" fat, select, raw",1.89,1.0017,0.0,0.8271999999999999,13934
"Beef, top sirloin, steak, separable lean only, trimmed to 0"" fat, all grades, cooked, broiled",1.83,0.5211,0.0,1.222,13454
"Beef, top sirloin, steak, separable lean only, trimmed to 0"" fat, choice, cooked, broiled",1.88,0.5895,0.0,1.2116,13455
"Beef, top sirloin, steak, separable lean only, trimmed to 0"" fat, select, cooked, broiled",1.77,0.4527000000000001,0.0,1.232,13456
"Beef, top sirloin, steak, separable lean only, trimmed to 1/8"" fat, all grades, cooked, broiled",1.78,0.5256,0.0,1.1768,23610
"Beef, top sirloin, steak, separable lean only, trimmed to 1/8"" fat, all grades, raw",1.31,0.3672,0.0,0.8835999999999999,23611
"Beef, top sirloin, steak, separable lean only, trimmed to 1/8"" fat, choice, cooked, broiled",1.87,0.6048,0.0,1.1804,23629
"Beef, top sirloin, steak, separable lean only, trimmed to 1/8"" fat, choice, raw",1.35,0.4158,0.0,0.8764,23625
"Beef, top sirloin, steak, separable lean only, trimmed to 1/8"" fat, select, cooked, broiled",1.7,0.4464,0.0,1.1736,23588
"Beef, top sirloin, steak, separable lean only, trimmed to 1/8"" fat, select, raw",1.27,0.3186,0.0,0.8908,23584
"Beef, variety meats and by-products, brain, cooked, pan-fried",1.96,1.4247,0.0,0.5028,13319
"Beef, variety meats and by-products, brain, cooked, simmered",1.51,0.9477,0.0592,0.4668,13320
"Beef, variety meats and by-products, brain, raw",1.43,0.927,0.042,0.4344,13318
"Beef, variety meats and by-products, heart, cooked, simmered",1.65,0.4257,0.006,1.1392,13322
"Beef, variety meats and by-products, heart, raw",1.12,0.3546,0.005600000000000001,0.7088,13321
"Beef, variety meats and by-products, kidneys, cooked, simmered",1.58,0.4185,0.0,1.0908,13324
"Beef, variety meats and by-products, kidneys, raw",0.99,0.2781,0.0116,0.696,13323
"Beef, variety meats and by-products, liver, cooked, braised",1.91,0.4734,0.2052,1.1632,13326
"Beef, variety meats and by-products, liver, cooked, pan-fried",1.75,0.4212,0.2064,1.0608,13327
"Beef, variety meats and by-products, liver, raw",1.35,0.3267,0.15560000000000002,0.8144,13325
"Beef, variety meats and by-products, lungs, cooked, braised",1.2,0.3330000000000001,0.0,0.816,13329
"Beef, variety meats and by-products, lungs, raw",0.92,0.225,0.0,0.648,13328
"Beef, variety meats and by-products, mechanically separated beef, raw",2.76,2.1168,0.0,0.5988,13330
"Beef, variety meats and by-products, pancreas, cooked, braised",2.71,1.5479999999999998,0.0,1.084,13332
"Beef, variety meats and by-products, pancreas, raw",2.35,1.6740000000000002,0.0,0.628,13331
"Beef, variety meats and by-products, spleen, cooked, braised",1.45,0.37799999999999995,0.0,1.004,13334
"Beef, variety meats and by-products, spleen, raw",1.05,0.27,0.0,0.732,13333
"Beef, variety meats and by-products, suet, raw",8.54,8.459999999999999,0.0,0.06,13335
"Beef, variety meats and by-products, thymus, cooked, braised",3.19,2.2482,0.0,0.8740000000000001,13338
"Beef, variety meats and by-products, thymus, raw",2.36,1.8315,0.0,0.4872,13337
"Beef, variety meats and by-products, tongue, cooked, simmered",2.84,2.0069999999999997,0.0,0.7716,13340
"Beef, variety meats and by-products, tongue, raw",2.24,1.4481,0.1472,0.596,13339
"Beef, variety meats and by-products, tripe, cooked, simmered",0.94,0.3645,0.0796,0.4684,23640
"Beef, variety meats and by-products, tripe, raw",0.85,0.3321,0.0,0.4828,13341
"Beerwurst, beer salami, pork",2.38,1.692,0.0824,0.5696,7003
"Beerwurst, beer salami, pork and beef",2.77,2.0277,0.15039999999999998,0.56,7002
"Beerwurst, pork and beef",2.76,2.0277,0.17079999999999998,0.56,7931
"Beet greens, cooked, boiled, drained, with salt",0.27,0.018000000000000002,0.2184,0.1028,11736
"Beet greens, cooked, boiled, drained, without salt",0.27,0.018000000000000002,0.2184,0.1028,11087
"Beet greens, raw",0.22,0.0117,0.1732,0.08800000000000001,11086
"Beets, canned, drained solids",0.31,0.012600000000000002,0.2884,0.0364,11084
"Beets, canned, no salt added, solids and liquids",0.28,0.006300000000000001,0.26280000000000003,0.032,11735
"Beets, canned, regular pack, solids and liquids",0.3,0.0081,0.2856,0.0292,11082
"Beets, cooked, boiled, drained",0.44,0.0162,0.3984,0.0672,11081
"Beets, cooked, boiled. drained, with salt",0.44,0.0162,0.3984,0.0672,11734
"Beets, harvard, canned, solids and liquids",0.73,0.005399999999999999,0.7272,0.0336,11605
"Beets, pickled, canned, solids and liquids",0.65,0.0072000000000000015,0.6512,0.032,11609
"Beets, raw",0.43,0.0153,0.3824,0.0644,11080
"Beverage, instant breakfast powder, chocolate, not reconstituted",3.53,0.126,2.648,0.7959999999999999,43205
"Beverage, instant breakfast powder, chocolate, sugar-free, not reconstituted",3.58,0.459,1.64,1.432,43260
"Beverage, milkshake mix, dry, not chocolate",3.29,0.23399999999999999,2.116,0.94,43078
"Beverages,  Energy drink, Citrus",0.45,0.0,0.4508,0.0,14021
"Beverages, ABBOTT, EAS soy protein powder",4.05,0.3213,1.7575999999999998,1.9048,14035
"Beverages, ABBOTT, EAS whey protein powder",3.85,0.4617,0.718,2.6668000000000003,14033
"Beverages, ABBOTT, ENSURE PLUS, ready-to-drink",1.41,0.4068,0.7951999999999999,0.2064,43528
"Beverages, ABBOTT, ENSURE, Nutritional Shake, Ready-to-Drink",1.05,0.2277,0.6751999999999999,0.152,14062
"Beverages, AMBER, hard cider",0.56,0.0,0.2368,0.0,14250
"Beverages, ARIZONA, tea, ready-to-drink, lemon",0.39,0.0,0.3908,0.0,14475
"Beverages, Acai berry drink, fortified",0.62,0.0747,0.5132,0.0332,14056
"Beverages, Apple juice drink, light, fortified with vitamin C",0.22,0.009000000000000001,0.204,0.0,14162
"Beverages, COCA-COLA, POWERADE, lemon-lime flavored, ready-to-drink",0.32,0.0045000000000000005,0.3136,0.0,14461
"Beverages, CYTOSPORT, Muscle Milk, ready-to-drink",0.49,0.1809,0.0824,0.2348,14036
"Beverages, Carob-flavor beverage mix, powder",3.72,0.018000000000000002,3.732,0.07200000000000001,14168
"Beverages, Carob-flavor beverage mix, powder, prepared with whole milk",0.75,0.2799,0.3472,0.1264,14169
"Beverages, Chocolate-flavored drink, whey and milk based",0.49,0.036000000000000004,0.4272,0.0256,43369
"Beverages, Clam and tomato juice, canned",0.48,0.018000000000000002,0.438,0.024,14187
"Beverages, Cocktail mix, non-alcoholic, concentrated, frozen",2.87,0.0009000000000000002,2.864,0.0032,44203
"Beverages, Cocoa mix, NESTLE, Hot Cocoa Mix Rich Chocolate With Marshmallows",4.0,1.35,3.0,0.112,14195
"Beverages, Cocoa mix, low calorie, powder, with added calcium, phosphorus, aspartame, without added sodium or vitamin A",3.59,0.27,2.32,1.004,14538
"Beverages, Cocoa mix, no sugar added, powder",3.77,0.27,2.8772,0.6196,14196
"Beverages, Cocoa mix, powder",3.98,0.36,3.3492,0.2668,14192
"Beverages, Cocoa mix, powder, prepared with water",0.55,0.0495,0.4616,0.0368,14194
"Beverages, Coconut water, ready-to-drink, unsweetened",0.18,0.0,0.1696,0.0088,14090
"Beverages, Cranberry juice cocktail",0.52,0.0306,0.49,0.0,14284
"Beverages, Dairy drink mix, chocolate, reduced calorie, with low-calorie sweeteners, powder",3.29,0.23399999999999999,2.056,1.0,14422
"Beverages, Eggnog-flavor mix, powder, prepared with whole milk",0.95,0.2718,0.568,0.1172,14245
"Beverages, Energy Drink with carbonated water and high fructose corn syrup",0.62,0.0,0.6,0.0168,14060
"Beverages, Energy Drink, Monster, fortified with vitamins C, B2, B3, B6, B12",0.47,0.0,0.4512,0.0188,14627
"Beverages, Energy Drink, sugar free",0.04,0.0,0.0168,0.0168,14061
"Beverages, Energy drink, AMP",0.46,0.0072000000000000015,0.4832,0.01,14625
"Beverages, Energy drink, AMP, sugar free",0.02,0.0,0.0412,0.0,14628
"Beverages, Energy drink, FULL THROTTLE",0.46,0.0072000000000000015,0.4832,0.01,14626
"Beverages, Energy drink, RED BULL",0.43,0.0,0.4092,0.0184,14154
"Beverages, Energy drink, RED BULL, sugar free, with added caffeine, niacin, pantothenic acid, vitamins B6 and B12",0.05,0.0072000000000000015,0.028,0.01,14156
"Beverages, Energy drink, ROCKSTAR",0.58,0.0198,0.508,0.0136,14629
"Beverages, Energy drink, ROCKSTAR, sugar free",0.04,0.0072000000000000015,0.028,0.01,14630
"Beverages, Energy drink, VAULT Zero, sugar-free, citrus flavor",0.01,0.0072000000000000015,0.028,0.01,14641
"Beverages, Energy drink, VAULT, citrus flavor",0.49,0.0,0.5196000000000001,0.0,14640
"Beverages, FUZE, orange mango, fortified with vitamins A, C, E, B6",0.38,0.005399999999999999,0.368,0.0272,14048
"Beverages, Fruit flavored drink containing less than 3% fruit juice, with high vitamin C",0.27,0.0,0.2668,0.0,14646
"Beverages, Fruit flavored drink, less than 3% juice, not fortified with vitamin C",0.64,0.0,0.6412,0.0,14645
"Beverages, Fruit flavored drink, reduced sugar, greater than 3% fruit juice, high vitamin C, added calcium",0.29,0.0333,0.2668,0.0,14647
"Beverages, Fruit punch drink, frozen concentrate",1.62,0.0,1.656,0.008,14268
"Beverages, Fruit punch drink, frozen concentrate, prepared with water",0.46,0.0,0.4664,0.0024,14269
"Beverages, Fruit punch drink, with added nutrients, canned",0.47,0.0,0.4776,0.0,14267
"Beverages, GEROLSTEINER BRUNNEN GmbH & Co. KG (Gerolsteiner), naturally sparkling, mineral bottled water",0.0,0.0,0.0,0.0,14082
"Beverages, GEROLSTEINER BRUNNEN GmbH & Co. KG,Gerolsteiner naturally sparkling mineral water,",0.0,0.0,0.0,0.0,14075
"Beverages, Horchata, as served in restaurant",0.54,0.0639,0.4608,0.0192,14638
"Beverages, Horchata, dry mix, unprepared, variety of brands, all with morro seeds",4.13,0.6714,3.162,0.3,14631
"Beverages, ICELANDIC, Glacial Natural spring water",0.0,0.0,0.0,0.0,14076
"Beverages, KELLOGG'S SPECIAL K20 protein powder",3.8,0.054000000000000006,2.336,1.408,14068
"Beverages, KELLOGG'S, SPECIAL K Protein Shake",0.64,0.14400000000000002,0.368,0.128,14059
"Beverages, KRAFT, coffee, instant, French Vanilla Cafe",4.81,1.7280000000000002,2.984,0.1,14231
"Beverages, Kiwi Strawberry Juice Drink",0.47,0.0,0.4904,0.0,14161
"Beverages, LIPTON BRISK, tea, black, ready-to-drink, lemon",0.35,0.0,0.35240000000000005,0.0,14476
"Beverages, Lemonade fruit juice drink light, fortified with vitamin E and C",0.21,0.0,0.2,0.0,14174
"Beverages, Lemonade, powder",3.76,0.0945,3.9028,0.0,14287
"Beverages, MINUTE MAID, Lemonada, Limeade",0.5,0.0,0.55,0.0,14095
"Beverages, MONSTER energy drink, low carb",0.05,0.0,0.0552,0.0,14022
"Beverages, MOTTS, Apple juice light, fortified with vitamin C",0.22,0.009000000000000001,0.204,0.0,14286
"Beverages, Malt liquor beverage",0.4,0.0,0.0,0.014,14252
"Beverages, Malted drink mix, chocolate, powder, prepared with whole milk",0.85,0.2961,0.448,0.1348,14318
"Beverages, Malted drink mix, chocolate, with added nutrients, powder, prepared with whole milk",0.87,0.2934,0.4476,0.1316,14316
"Beverages, Malted drink mix, natural, powder, dairy based.",4.28,0.8567999999999999,2.8484,0.5716,14311
"Beverages, Malted drink mix, natural, powder, prepared with whole milk",0.88,0.32580000000000003,0.4092,0.15439999999999998,14312
"Beverages, Malted drink mix, natural, with added nutrients, powder, prepared with whole milk",0.86,0.2889,0.4268,0.1468,14310
"Beverages, Meal supplement drink, canned, peanut flavor",1.01,0.2763,0.5896,0.14,14632
"Beverages, Mixed vegetable and fruit juice drink, with added nutrients",0.29,0.0009000000000000002,0.2988,0.0016,14119
"Beverages, NESTEA, tea, black, ready-to-drink, lemon",0.36,0.0,0.3636,0.0,14137
"Beverages, NESTLE, Boost plus, nutritional drink, ready-to-drink",1.38,0.4842,0.6916,0.2152,14041
"Beverages, OCEAN SPRAY, Cran Cherry",0.46,0.0,0.5104,0.0076,14256
"Beverages, OCEAN SPRAY, Cran Grape",0.54,0.0,0.5264,0.0084,14217
"Beverages, OCEAN SPRAY, Cran Lemonade",0.45,0.0,0.4448,0.0028000000000000004,14234
"Beverages, OCEAN SPRAY, Cran Pomegranate",0.47,0.0009000000000000002,0.5024000000000001,0.0028000000000000004,14255
"Beverages, OCEAN SPRAY, Cran Raspberry Juice Drink",0.49,0.0,0.4784000000000001,0.011200000000000002,14233
"Beverages, OCEAN SPRAY, Cran-Energy, Cranberry Energy Juice Drink",0.15,0.0,0.15,0.0,14038
"Beverages, OCEAN SPRAY, Cranberry-Apple Juice Drink, bottled",0.56,0.0,0.5472,0.0116,14220
"Beverages, OCEAN SPRAY, Diet Cran Cherry",0.04,0.0,0.028,0.0084,14235
"Beverages, OCEAN SPRAY, Diet Cranberry Juice",0.04,0.0,0.032,0.0028000000000000004,14221
"Beverages, OCEAN SPRAY, Light Cranberry",0.19,0.0009000000000000002,0.1888,0.0088,14257
"Beverages, OCEAN SPRAY, Light Cranberry and Raspberry Flavored Juice",0.26,0.0,0.2308,0.0292,14226
"Beverages, OCEAN SPRAY, Light Cranberry, Concord Grape",0.23,0.0018000000000000004,0.2312,0.0144,14259
"Beverages, OCEAN SPRAY, Ruby Red cranberry",0.45,0.0009000000000000002,0.4632,0.0028000000000000004,14285
"Beverages, OCEAN SPRAY, White Cranberry Peach",0.45,0.0009000000000000002,0.4752,0.0052,14258
"Beverages, OCEAN SPRAY, White Cranberry Strawberry Flavored Juice Drink",0.49,0.0009000000000000002,0.4792,0.0088,14227
"Beverages, OVALTINE, Classic Malt powder",3.72,0.0,3.7332,0.0,14309
"Beverages, OVALTINE, chocolate malt powder",3.72,0.0,3.7184,0.0,14315
"Beverages, Orange drink, breakfast type, with juice and pulp, frozen concentrate",1.53,0.0,1.56,0.016,14426
"Beverages, Orange drink, breakfast type, with juice and pulp, frozen concentrate, prepared with water",0.45,0.0,0.4528,0.0048,14427
"Beverages, Orange juice drink",0.54,0.0,0.5364,0.008,42270
"Beverages, Orange juice, light, No pulp",0.21,0.0,0.2168,0.0084,14064
"Beverages, Orange-flavor drink, breakfast type, low calorie, powder",2.17,0.0,3.4360000000000004,0.14400000000000002,14409
"Beverages, Orange-flavor drink, breakfast type, with pulp, frozen concentrate, prepared with water",0.49,0.012600000000000002,0.4884000000000001,0.0012,14425
"Beverages, Orange-flavor drink, breakfast type, with pulp, frozen concentrate. Not manufactured anymore.",1.72,0.045,1.716,0.004,14424
"Beverages, PEPSICO QUAKER, Gatorade G2, low calorie",0.08,0.0009000000000000002,0.0776,0.002,14644
"Beverages, PEPSICO QUAKER, Gatorade, G performance O 2, ready-to-drink.",0.26,0.0,0.2572,0.0,14460
"Beverages, POWERADE, Zero, Mixed Berry",0.0,0.0,0.005600000000000001,0.0,14167
"Beverages, Powerade Zero Ion4, calorie-free, assorted flavors",0.0,0.0,0.0,0.0,14599
"Beverages, Propel Zero, fruit-flavored, non-carbonated",0.05,0.0,0.0456,0.0,14462
"Beverages, Protein powder soy based",3.88,0.5004,1.1556,2.2224,14067
"Beverages, Protein powder whey based",3.52,0.1404,0.25,3.1252,14066
"Beverages, SLIMFAST, Meal replacement,  High Protein Shake, Ready-To-Drink, 3-2-1 plan",0.58,0.2592,0.034,0.2636,14044
"Beverages, SNAPPLE, tea, black and green, ready to drink, lemon, diet",0.02,0.0,0.004,0.004,14294
"Beverages, SNAPPLE, tea, black and green, ready to drink, peach, diet",0.02,0.0,0.004,0.004,14291
"Beverages, Strawberry-flavor beverage mix, powder, prepared with whole milk",0.88,0.27899999999999997,0.4920000000000001,0.12,14351
"Beverages, THE COCA-COLA COMPANY, NOS Zero, energy drink, sugar-free with guarana, fortified with vitamins B6 and B12",0.04,0.0,0.0412,0.0,14026
"Beverages, THE COCA-COLA COMPANY, NOS energy drink, Original, grape, loaded cherry, charged citrus, fortified with vitamins B6 and B12",0.44,0.0,0.45,0.0,14030
"Beverages, The COCA-COLA company, DASANI, water, bottled, non-carbonated",0.0,0.0,0.0,0.0,14434
"Beverages, The COCA-COLA company, Glaceau Vitamin Water, Revive Fruit Punch, fortified",0.0,0.0,0.0,0.0,14093
"Beverages, The COCA-COLA company, Hi-C Flashin' Fruit Punch",0.45,0.0,0.5,0.0,14065
"Beverages, The COCA-COLA company, Minute Maid, Lemonade",0.46,0.0,0.4832,0.0,14189
"Beverages, Tropical Punch, ready-to-drink",0.1,0.0,0.1,0.0,14276
"Beverages, UNILEVER, SLIMFAST Shake Mix, high protein, whey powder, 3-2-1 Plan,",3.68,1.0458,2.0,1.1148,14055
"Beverages, UNILEVER, SLIMFAST Shake Mix, powder, 3-2-1 Plan",4.48,1.2006,2.9568,0.32520000000000004,14047
"Beverages, UNILEVER, SLIMFAST, meal replacement, regular, ready-to-drink,  3-2-1 Plan",0.57,0.17369999999999994,0.3096,0.1328,14045
"Beverages, V8 SPLASH Juice Drinks, Berry Blend",0.29,0.0,0.2964,0.0,14611
"Beverages, V8 SPLASH Juice Drinks, Diet Berry Blend",0.04,0.0,0.0492,0.0,14607
"Beverages, V8 SPLASH Juice Drinks, Diet Fruit Medley",0.04,0.0,0.0504,0.0,14608
"Beverages, V8 SPLASH Juice Drinks, Diet Strawberry Kiwi",0.04,0.0,0.0504,0.0,14609
"Beverages, V8 SPLASH Juice Drinks, Diet Tropical Blend",0.04,0.0,0.0504,0.0,14610
"Beverages, V8 SPLASH Juice Drinks, Fruit Medley",0.33,0.0,0.3128,0.0,14612
"Beverages, V8 SPLASH Juice Drinks, Guava Passion Fruit",0.33,0.0,0.3128,0.0,14613
"Beverages, V8 SPLASH Juice Drinks, Mango Peach",0.33,0.0,0.3292,0.0,14614
"Beverages, V8 SPLASH Juice Drinks, Orange Pineapple",0.29,0.0,0.2964,0.0,14615
"Beverages, V8 SPLASH Juice Drinks, Orchard Blend",0.33,0.0,0.3128,0.0,14616
"Beverages, V8 SPLASH Juice Drinks, Strawberry Banana",0.29,0.0,0.2964,0.0,14617
"Beverages, V8 SPLASH Juice Drinks, Strawberry Kiwi",0.29,0.0,0.2964,0.0,14618
"Beverages, V8 SPLASH Juice Drinks, Tropical Blend",0.29,0.0,0.2964,0.0,14619
"Beverages, V8 SPLASH Smoothies, Peach Mango",0.37,0.0,0.3104,0.0488,14086
"Beverages, V8 SPLASH Smoothies, Strawberry Banana",0.37,0.0,0.3264,0.0488,14087
"Beverages, V8 SPLASH Smoothies, Tropical Colada",0.41,0.0,0.3416,0.0488,14088
