Dairy and Eggs
Spices and Herbs
Baby Foods
Fats and Oils
Meat
"Soups, Sauces, and Gravies"
Breakfast Cereals
Fruits
Veggies
Nuts and Seeds
Beverages
Fish and Seafood
Baked Products
Sweets
Grains and Pasta
Fast Foods
"Meals, Entrees, and Side Dishes"
Snacks
American Indian/Alaska Native Foods
Restaurant Foods
